Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Section 1: Keywords,,,,,Section 2: Keyword Variation,,,,,,,,,,,,,,,,,,,,,
Language,High-risk key words,,,,,Range of possible misspellings and common slang used by the population,,,,,,,,,,,,,,,,,,,,,
"Please insert translation of each word under each corresponding cell. If the particular word does not translate into the chosen language, please leave it blank",,,,,,,,,,,,,,,,,,,,,,,,,,,
English ,kidnap,kidnapping ,kidnapper,kidnapped,,troublesome,kidnapp,kiddnap,kidnape,,,,,,,,,,,,,,,,,,
West African French,kidnapper,enlèvement,kidnappeur,kidnappé,kidnappée,dificil,enlèvemen,enlevemen,enlaiveman,enleveman,enlevmen,enlevement,,,,,,,,,,,,,,,
English ,death ,dead ,dying,,,deeath,deat,,,,,,,,,,,,,,,,,,,,
West African French,mort,mort,morte,mourant,mourante,mor,more,mouran,morrant,meur,mourir,,,,,,,,,,,,,,,,
English ,illegal ,,,,,ilegal,ellegal,ileagaly,,,,,,,,,,,,,,,,,,,
West African French,illégal,,,,,ilegal,ilegalle,ylegal,ilega,ilegaleman,ilegalemen,ilegalemen,,,,,,,,,,,,,,,
English ,poison ,poisoning ,poisoned,,,pesian,boisoned,poision ,poisioning , ,,,,,,,,,,,,,,,,,
West African French,poison ,empoisonnement,empoisonné,empoisonnée,,poisson,poizon,empoizoner,poizoner,anpoizoné,empoisoner,enpoisone,,,,,,,,,,,,,,,
English ,crisis,crises,,,,krisis,krises,,,,,,,,,,,,,,,,,,,,
West African French,crise,crises,,,,criz,crize,kryz,krize,crisse,cryse,,,,,,,,,,,,,,,,
English ,trouble ,troubling ,troublesome,troubled,,troubl,trevel,trubl,,,,,,,,,,,,,,,,,,,
West African French,Problème,troublant,pénible,troublé,troublée,troubl,troublan,truble,trubles,troble,trobble,pblm,blem,,,,,,,,,,,,,,
English ,victim,victimised,,,,victm,victimized,victem,,,,,,,,,,,,,,,,,,,
West African French,victime,victime,,,,victm,victimes,victim,viktim,viktem,victimm,vyktim,vctm,,,,,,,,,,,,,,
English ,emergency ,911,,,,emergincy,emergincey,emergince,imerjensi,,,,,,,,,,,,,,,,,,
West African French,urgence,secours,,,,urjens,urjence,urganse,urjansse,urjense,ujense,,,,,,,,,,,,,,,,
English ,danger ,dangerous,endangered,,,dangeur,dangeer,dangre,dange,,,,,,,,,,,,,,,,,,
West African French,danger ,dangereux,danger,,,danjé,danjer,dangereu,danjereu,denjé,dengé,denger,,,,,,,,,,,,,,,
English ,stalking,,,,,staling,staking,stakling,stalkin,,,,,,,,,,,,,,,,,,
West African French,harcèlement,,,,,arceleman,arcelemen,arsaileman,arcele,harecele,harsele,harseleman,,,,,,,,,,,,,,,
English ,follow,following,followed,,,folow,folowed,followin,folowin,,,,,,,,,,,,,,,,,,
West African French,suivre,suit,suivi,,,suivr,sui,suivi,suvre,suvr,,,,,,,,,,,,,,,,,
English ,suffer,suffering,suffered,tortured,,sufer,sufering,sufered,,,,,,,,,,,,,,,,,,,
West African French,souffrir,souffrance,souffert,torturé,torturée,suffrir,souffer,soffert,soffrir,suffrance,soufrence,sufrense,souffrans,torture,torturee,,,,,,,,,,,,
English ,hide,hiding ,hid,,,hidin,heed,haid,,,,,,,,,,,,,,,,,,,
West African French,cacher,cache,caché,,,kacher,casher,cashe,cashé,cach,kache,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
